id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,primaryEnergyConsumptionLevel,room_number,surface,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,m2,commune
9021720,apartment,ground floor,215000,for sale,9320,xl,hyper equipped,2019,as new,gas,,1,,,true,,1,1,1926187,van de vondel vastgoed en advies,89,Aalst%20Erembodegem
8859993,apartment,duplex,232400,for sale,3770,xl,not installed,2020,as new,gas,,2,,,,,2,,3408290,matisimmo,123,Riemst
8935321,apartment,apartment,243000,for sale,1785,xl,installed,2018,as new,gas,,2,,,,,1,,2019,structura,80,Merchtem
8859989,apartment,duplex,232400,for sale,3770,xl,not installed,2020,as new,gas,,2,,,,,2,,3408290,matisimmo,123,Riemst
8355147,apartment,apartment,243000,for sale,9991,xl,hyper equipped,2020,as new,gas,,2,31,,,,,,3138002,immo van de woestijne,88,Adegem
8825041,apartment,apartment,245900,for sale,1853,xl,installed,2019,,gas,,2,,,,,,,3138461,kastor,97,Strombeek-Bever
8498164,apartment,apartment,248095,for sale,8930,xl,installed,,,gas,,2,,,,,,,3577076,century 21 modalis,102,Menin
8785211,apartment,apartment,249000,for sale,8200,xl,installed,2019,as new,gas,,1,,,,,,,1583523,immo isera,68,Sint-Andries
7139690,apartment,apartment,335724,for sale,1702,xl,hyper equipped,2020,as new,gas,,3,33,true,,,,,2810485,,120,Groot-Bijgaarden
8860235,apartment,ground floor,371838,for sale,1970,xl,usa hyper equipped,2019,,,,2,180,,true,,1,,477024,casalina real estate,118,Wezembeek-Oppem
8728217,apartment,apartment,299000,for sale,2100,xl,hyper equipped,2019,,gas,,3,,,,,25,25,3539317,heylen vastgoed deurne,122,Deurne
8698269,apartment,apartment,417000,for sale,1930,xl,hyper equipped,2020,as new,gas,,3,,true,,,1,,2224,kwadraat nv,144,Zaventem
8916997,apartment,penthouse,419000,for sale,2460,xl,hyper equipped,2021,as new,,,3,,,true,,13,13,409894,heylen vastgoed herentals,188,Kasterlee%20Lichtaart
8782294,apartment,penthouse,425000,for sale,9900,xl,hyper equipped,2020,as new,gas,,2,184,,,,,,872433,immo willems-verselder nv,163,Eeklo
8905444,apartment,apartment,399525,for sale,3000,xl,hyper equipped,2020,as new,gas,,2,,,,,,,1827,living stone,105,Louvain
9016522,apartment,penthouse,579000,for sale,9000,xl,,2021,,,,3,,,,,,,2844275,tondelier development nv,122,Gand
8932358,apartment,apartment,1850000,for sale,8300,xl,usa hyper equipped,2020,,gas,,3,,,true,,,,725450,immo centrale,143,Knokke
